x0,x1,label
0.183469,0.938218,1
0.125608,0.966676,1
0.123116,0.930016,1
0.067351,0.890002,1
0.121724,0.903421,1
0.113545,0.899034,1
0.073673,0.865421,1
0.078442,0.903147,1
0.070712,0.778739,1
0.150441,0.853341,1
0.190393,0.931034,1
0.218031,0.904100,1
0.231165,0.918559,1
0.206772,0.934212,1
0.220932,0.954986,1
0.262963,0.966974,1
0.146816,0.896787,1
0.185435,0.920333,1
0.162881,0.896071,1
0.125297,0.890424,1
0.133898,0.798085,1
0.089375,0.866174,1
0.077110,0.804314,1
0.087236,0.769646,1
0.082107,0.780639,1
0.038096,0.812553,1
0.132021,0.800691,1
0.080012,0.719309,1
0.162977,0.819786,1
0.166574,0.805978,1
0.151449,0.887118,1
0.172831,0.873657,1
0.104352,0.915448,1
0.190733,0.892942,1
0.115558,0.827721,1
0.146541,0.815285,1
0.027790,0.841405,1
0.067793,0.887288,1
0.114236,0.779122,1
0.110257,0.713589,1
0.031712,0.892282,1
0.092334,0.840315,1
0.075081,0.832106,1
0.141373,0.869037,1
0.163516,0.872390,1
0.201152,0.864570,1
0.130747,0.872754,1
0.138849,0.868705,1
0.105553,0.856029,1
0.238226,0.813014,1
0.214090,0.896302,1
0.121738,0.919677,1
0.189884,0.909170,1
0.238858,0.902132,1
0.115342,0.982651,1
0.109234,0.960306,1
0.115231,0.968797,1
0.076391,0.853995,1
0.075836,0.882425,1
0.128081,0.888173,1
0.062476,0.858412,1
0.043308,0.839396,1
0.060915,0.769903,1
0.061976,0.780685,1
0.065699,0.783358,1
0.051356,0.824468,1
0.063077,0.807011,1
0.075639,0.843374,1
0.102801,0.850655,1
0.166985,0.772779,1
0.129128,0.831832,1
0.152667,0.827168,1
0.219206,0.815182,1
0.192888,0.853416,1
0.183504,0.899637,1
0.234894,0.905500,1
0.326790,0.903287,1
0.226626,0.955633,1
0.167572,0.921478,1
0.157222,0.918069,1
0.147539,0.928495,1
0.014959,0.856317,1
0.066971,0.899077,1
0.043893,0.791964,1
0.055998,0.764585,1
-0.000000,0.815489,1
0.000000,0.786288,1
0.028643,0.687038,1
0.067088,0.725222,1
0.036420,0.646782,1
0.129842,0.651845,1
0.131215,0.734035,1
0.124505,0.756826,1
0.236782,0.699190,1
0.201347,0.773011,1
0.230015,0.776663,1
0.274496,0.771868,1
0.238174,0.824597,1
0.249021,0.768832,1
0.279839,0.900881,1
0.261741,0.856922,1
0.265331,0.969025,1
0.290585,0.908000,1
0.253997,0.897496,1
0.177609,0.895880,1
0.124202,0.899402,1
0.100162,0.879493,1
0.115381,0.883217,1
0.071374,0.854745,1
-0.000000,0.777885,1
0.047195,0.750846,1
0.108344,0.695386,1
0.055241,0.710106,1
0.091228,0.681033,1
0.128784,0.732606,1
0.230758,0.713306,1
0.172325,0.770602,1
0.146773,0.787424,1
0.176831,0.779783,1
0.157358,0.722614,1
0.087137,0.804696,1
0.146966,0.772601,1
0.152212,0.724106,1
0.116092,0.740117,1
0.148780,0.748900,1
0.128308,0.669163,1
0.116058,0.766404,1
0.147501,0.726335,1
0.184133,0.726228,1
