x0,x1,label
0.333898,0.810852,1
0.281813,0.724780,1
0.136564,0.660190,1
0.186994,0.572795,1
0.147842,0.484941,1
0.228077,0.323849,1
0.219619,0.286595,1
0.291582,0.197269,1
0.213910,0.219571,1
0.172013,0.136509,1
0.175060,0.154940,1
0.175115,0.104155,1
0.128288,0.079705,2
0.108821,0.099837,2
0.254091,0.063713,2
0.270609,0.093919,2
0.318350,0.069597,2
0.333281,0.137974,2
0.318612,0.360639,2
0.297896,0.380035,2
0.317549,0.481959,2
0.293906,0.543834,1
0.324678,0.558097,2
0.402067,0.650034,1
0.498731,0.622596,2
0.554261,0.693590,1
0.641538,0.608754,1
0.708425,0.693026,1
0.682157,0.782642,1
0.650805,0.766979,1
0.614894,0.813439,1
0.642579,0.750860,1
0.631515,0.809875,1
0.601411,0.724906,1
0.559009,0.775040,1
0.392595,0.810414,1
0.431569,0.899808,1
0.387504,0.876476,1
0.401348,0.843884,1
0.389136,0.865497,1
0.283482,0.842850,1
0.257595,0.829855,1
0.233281,0.787051,1
0.158722,0.699216,1
0.065747,0.693617,1
0.065735,0.554157,1
0.083556,0.481081,1
0.042315,0.384025,1
0.042059,0.213364,1
0.031874,0.168319,2
0.006233,0.167862,2
0.048647,0.151572,2
0.079021,0.099789,2
0.095368,0.248870,1
0.037970,0.274063,1
0.065277,0.413048,1
0.091419,0.500486,1
0.125416,0.476715,1
0.101824,0.409039,1
0.065650,0.518594,1
0.087436,0.487518,1
0.092288,0.552450,1
0.092391,0.546267,1
0.005355,0.654675,1
0.120582,0.599983,1
0.043894,0.722579,1
0.128242,0.743116,1
0.121640,0.820503,1
0.051190,0.859890,1
0.126144,0.846603,1
0.133094,0.899964,1
0.086075,0.853338,1
0.117291,0.875033,1
0.130100,0.984043,1
0.162513,0.887469,1
0.216155,0.922789,1
0.373798,0.901262,1
0.441687,0.954199,1
0.460749,0.922777,1
0.347425,0.939212,1
0.571140,0.945643,1
0.472843,0.891486,1
0.591800,0.878498,1
0.636889,0.876460,1
0.631335,0.900093,1
0.662682,1.000000,1
0.651387,0.899469,1
0.726230,0.932985,1
0.745423,1.000000,1
0.707049,0.931718,1
0.779843,0.923265,1
0.788434,0.889644,1
0.821882,0.936127,2
0.877501,0.923748,2
0.826551,0.836046,1
0.742529,0.663318,1
0.734665,0.649647,1
0.592463,0.623331,1
0.609271,0.726116,1
0.541404,0.789977,1
0.449895,0.761775,1
0.612854,0.773682,1
0.528095,0.755972,1
0.362478,0.666975,1
0.344715,0.587837,1
0.309557,0.478082,2
0.407229,0.323169,2
0.394538,0.196233,2
0.369776,0.147261,2
0.401245,0.196782,2
0.410197,0.053745,2
0.310592,0.075155,2
0.357515,0.000567,2
0.245465,0.080081,2
0.215920,0.073895,2
0.216109,0.010156,2
0.094149,0.000000,2
0.052408,0.015269,2
0.119015,0.054713,2
0.110269,0.073435,2
0.106711,0.104191,2
0.364939,0.030808,2
0.471225,0.043146,2
0.507072,0.141456,2
0.637719,0.105944,2
0.627762,0.130922,2
0.638501,0.184334,2
0.641895,0.132838,2
0.652502,0.162165,2
0.607462,0.184004,2
0.633771,0.173424,2
0.636498,0.248071,2
0.569919,0.352331,2
0.542516,0.367574,2
0.578930,0.489871,2
0.555526,0.500978,2
0.613750,0.462818,2
0.662600,0.509761,1
0.652168,0.506885,1
0.643927,0.432706,2
0.481336,0.343747,2
0.453709,0.246442,2
0.468325,0.188425,2
0.466571,0.175734,2
0.523030,0.118632,2
0.662454,0.121960,2
0.858349,0.112251,2
0.820827,0.057598,2
0.727753,0.074094,2
0.757725,0.028767,2
0.744189,0.033282,2
0.732111,0.038568,2
0.801904,0.020293,2
0.899133,0.023951,2
1.000000,0.113997,2
0.935556,0.153430,2
0.894519,0.126202,2
0.837970,0.299587,2
0.854107,0.386351,2
0.781042,0.359184,2
0.796698,0.389479,2
0.816162,0.380631,2
0.894977,0.362084,2
0.872992,0.515075,2
0.848064,0.521868,1
0.911751,0.681086,2
0.864644,0.626475,2
0.691918,0.482970,2
0.689419,0.475033,2
0.670077,0.298300,2
0.639632,0.154589,2
0.662987,0.171641,2
0.675460,0.106442,2
0.640262,0.127464,2
0.479260,0.278528,2
0.391757,0.364597,2
0.344790,0.335710,2
0.430016,0.369296,2
0.286335,0.434826,1
0.241260,0.533019,1
0.181550,0.613290,1
0.169414,0.645413,1
0.216232,0.639583,1
0.242954,0.722198,1
0.311822,0.674437,1
0.395388,0.680086,1
0.559900,0.752380,1
0.634473,0.670346,1
0.721778,0.777680,1
0.684345,0.754763,1
0.857556,0.869997,2
0.790894,0.749836,1
0.847017,0.702949,2
0.953466,0.530496,2
0.958814,0.570238,2
0.945383,0.375991,2
0.938055,0.464323,2
0.929677,0.364219,2
0.938026,0.328425,2
0.965147,0.288077,2
0.871266,0.350167,2
0.936515,0.209473,2
0.888712,0.160830,2
0.897975,0.189721,2
0.899196,0.192107,2
0.898167,0.177235,2
0.836926,0.033922,2
0.722001,0.116787,2
0.782943,0.102546,2
0.745440,0.139671,2
0.718757,0.074096,2
0.684352,0.127876,2
0.620928,0.080429,2
0.558045,0.162415,2
0.575848,0.230793,2
0.599505,0.265546,2
0.575727,0.386385,2
0.626945,0.396541,2
0.592794,0.422420,2
0.608598,0.431396,2
0.585566,0.432878,2
0.738122,0.309348,2
0.808797,0.241927,2
0.763551,0.218628,2
0.653481,0.130371,2
0.793640,0.055780,2
0.779234,0.145564,2
0.805890,0.079098,2
0.847386,0.032680,2
0.756399,0.253566,2
0.738755,0.387176,2
0.694626,0.610020,1
0.659139,0.676892,1
0.752604,0.779863,1
0.959504,0.809650,2
0.934484,0.899258,2
0.972774,0.890300,2
0.969284,1.000000,2
0.934251,0.935371,2
0.909593,0.929149,2
0.915291,0.880265,2
0.980728,1.000000,2
0.906024,0.954208,2
0.908809,0.924035,2
0.796314,0.931606,2
0.720193,0.970914,1
0.692973,0.939806,1
0.655839,0.934669,1
0.600388,1.000000,1
0.639837,0.948060,1
0.526734,0.913295,1
0.484913,0.960090,1
0.495301,0.949058,1
0.497185,0.911071,1
0.468499,0.967917,1
0.268250,0.958095,1
0.286232,0.949668,1
0.290512,0.999097,1
0.199863,0.953443,1
0.154480,0.991235,1
0.168740,0.972332,1
0.161129,1.000000,1
0.189231,0.949740,1
0.151894,0.986484,1
0.044989,1.000000,1
0.122532,0.968869,1
0.024423,0.900952,1
0.064418,0.896748,1
0.067231,0.909545,1
0.047524,0.927879,1
0.136878,0.971108,1
0.051753,0.993595,1
0.123487,0.935858,1
0.136171,0.949659,1
0.131334,0.890290,1
0.135536,0.728634,1
0.066078,0.690569,1
