x,y,Class
0.342227,0.955225,1
0.266198,0.87517,1
0.121989,0.820204,1
0.170337,0.752059,1
0.0957907,0.681048,1
0.108359,0.584924,1
0.0645053,0.534436,1
0.105238,0.405408,2
0.0234018,0.41207,2
0.000243653,0.296524,2
0.0574238,0.281267,2
0.116817,0.197998,2
0.177216,0.129033,2
0.254565,0.134728,2
0.46542,0.0841655,2
0.460076,0.0951223,2
0.485955,0.0479406,2
0.486312,0.1091,2
0.443536,0.352218,2
0.388465,0.345145,2
0.346698,0.435038,2
0.230403,0.522178,1
0.200796,0.550878,1
0.23342,0.663268,1
0.286361,0.683955,1
0.302332,0.803073,1
0.452071,0.733877,1
0.618896,0.820556,3
0.6655,0.893328,3
0.659133,0.815103,3
0.658618,0.708768,3
0.67381,0.504222,3
0.630474,0.466988,3
0.606616,0.28216,4
0.644373,0.249279,4
0.598718,0.207654,4
0.748042,0.248924,4
0.782054,0.212357,4
0.87918,0.237515,4
0.923184,0.365001,4
0.850842,0.502368,3
0.86972,0.618107,3
0.909949,0.692005,3
0.902016,0.720872,3
0.841313,0.86085,3
0.822563,0.858545,3
0.757101,0.899765,3
0.556583,0.856848,3
0.426199,0.686188,1
0.421218,0.587003,1
0.432013,0.527593,1
0.480674,0.459569,3
0.437135,0.319959,2
0.29941,0.337901,2
0.145196,0.213907,2
0.124615,0.265065,2
0.116404,0.369346,2
0.146237,0.45145,2
0.196557,0.471601,2
0.271774,0.665374,1
0.37476,0.730547,1
0.393145,0.82315,1
0.390126,0.814561,1
0.277063,0.890485,1
0.32046,0.78045,1
0.132381,0.808,1
0.151144,0.746726,1
0.128927,0.731472,1
0.0584768,0.60483,1
0.16258,0.42431,2
0.186187,0.33811,2
0.137086,0.234938,2
0.150604,0.233773,2
0.132182,0.330752,2
0.0896409,0.219741,2
0.0152369,0.224983,2
0.0739814,0.167362,2
0.052342,0.175784,2
0.0641175,0.105863,2
0,0.101845,2
0.197411,0.0733857,2
0.178232,0,2
0.365897,0,2
0.408904,0,2
0.37316,0,2
0.380563,0.147503,2
0.336996,0.0957894,2
0.334803,0.191867,2
0.279042,0.310694,2
0.229216,0.255568,2
0.36239,0.312084,2
0.476125,0.355461,4
0.603266,0.472928,3
0.688034,0.548376,3
0.65374,0.570158,3
0.560349,0.510523,3
0.490023,0.582273,3
0.311385,0.666643,1
0.349014,0.807928,1
0.329034,0.832086,1
0.275002,0.79065,1
0.437961,0.816994,1
0.359448,0.873878,1
0.153232,0.897973,1
0.105278,0.941553,1
0.0909411,0.955718,1
0.181326,0.94157,1
0.118666,0.954195,1
0.0616319,0.987035,1
0.0972649,1,1
0.198869,0.944049,1
0.307469,0.975084,1
0.57509,0.894481,3
0.666041,0.969182,3
0.757255,0.958184,3
0.807414,0.893242,3
0.7323,0.883218,3
0.719707,0.907979,3
0.768616,0.824706,3
0.699492,0.679804,3
0.623062,0.611905,3
0.59813,0.524085,3
0.610723,0.532814,3
0.522688,0.71895,3
0.563806,0.732767,3
0.534069,0.752932,3
0.661404,0.764235,3
0.798049,0.746426,3
0.824271,0.799815,3
0.748001,0.832483,3
0.74412,0.818293,3
0.777036,0.85444,3
