x,y,Label
0.118478,0.948641,1
0.103036,0.818705,1
0.0577392,0.510708,1
0.116419,0.307381,1
0.263633,0.218351,1
0.494235,0.154586,1
0.731013,0.175039,1
0.863815,0.381975,1
0.891611,0.551614,1
0.865874,0.729674,1
0.739249,0.82472,1
0.577622,0.860814,1
0.36761,0.831939,1
0.295547,0.703206,1
0.312019,0.520333,1
0.423201,0.420474,1
0.610565,0.409646,1
0.674392,0.689972,1
0.494235,0.706815,1
0.450997,0.579285,1
0.264663,0.6623,1
0.167893,0.602144,1
0.247162,0.359115,1
0.377905,0.307381,1
0.593064,0.278507,1
0.715571,0.371146,1
0.726895,0.504692,1
0.62086,0.58891,1
0.561151,0.738096,1
0.496294,0.822314,1
0.44585,0.90172,1
0.32849,0.939016,1
0.244073,0.904126,1
0.204954,0.825924,1
0.473646,0.95586,1
0.647626,0.960672,1
0.761897,0.941423,1
0.802047,0.92097,1
0.872051,0.887282,1
0.896758,0.831939,1
0.942055,0.724862,1
0.97191,0.560035,1
0.972939,0.409646,1
0.938966,0.254444,1
0.903964,0.184664,1
0.811312,0.266476,1
0.692923,0.267679,1
0.65895,0.16782,1
0.561151,0.0920241,1
0.373787,0.0896178,1
0.190541,0.0992427,1
0.13392,0.15218,1
0.200836,0.2761,1
0.145244,0.395209,1
0.177158,0.517926,1
0.256427,0.621394,1
0.213189,0.682753,1
0.27084,0.816299,1
0.354227,0.759752,1
0.404671,0.638238,1
0.0803876,0.683956,1
0.1926,0.775393,1
0.383052,0.526348,1
0.317166,0.385584,1
0.505559,0.468599,1
0.505559,0.326631,1
0.602329,0.581691,1
0.56321,0.657488,1
0.617771,0.669519,1
0.664098,0.586504,1
0.744396,0.62741,1
0.723807,0.745315,1
0.67954,0.794643,1
0.599241,0.758549,1
0.455115,0.312194,1
0.424231,0.232788,1
0.340844,0.149774,1
0.291429,0.288132,1
0.392317,0.37235,1
0.338785,0.468599,1
0.240985,0.420474,1
0.233779,0.546801,1
0.293488,0.598535,1
0.397465,0.715237,1
0.414966,0.771783,1
0.502471,0.896907,1
0.531296,0.924579,1
0.656891,0.905329,1
0.655862,0.848783,1
0.498353,0.56966,1
0.557033,0.49627,1
0.631155,0.502286,1
0.657921,0.464989,1
0.742338,0.46138,1
0.767045,0.418068,1
0.784546,0.378365,1
0.875139,0.392803,1
0.721748,0.373553,1
0.715571,0.371146,2
0.721748,0.373553,2
