x,y
210.306574, 239.119653
219.431299, 312.007103
229.046608, 357.541344
239.260900, 400.268060
257.120482, 440.926609
290.867761, 467.471133
328.882265, 486.936667
369.027928, 505.326119
414.642504, 509.532922
456.203556, 499.100517
491.858032, 481.389456
531.185603, 459.875088
564.628108, 426.587469
582.377976, 377.529278
589.376509, 320.730936
602.834831, 267.325625
614.973416, 210.493535
226.383405, 215.466812
243.566764, 181.015871
284.518322, 167.389974
320.916053, 170.041707
354.855137, 180.873521
427.111834, 179.371033
465.632581, 165.814590
506.482413, 166.181200
547.907245, 175.343884
571.067603, 201.674492
395.442914, 237.444778
394.819528, 264.831794
394.787408, 291.583237
394.798272, 317.547046
366.478906, 350.646356
381.924795, 351.816039
397.024322, 352.278029
412.248181, 350.889787
427.657722, 350.004484
268.797431, 243.332490
292.942968, 224.039638
322.204817, 224.724653
348.190102, 252.207309
320.988821, 256.070505
291.529171, 255.664232
447.541719, 248.381142
472.250344, 219.756216
502.080828, 217.847558
527.877936, 234.682836
505.769138, 248.932538
476.351544, 250.848486
344.136858, 423.360861
369.849563, 408.563232
388.511121, 403.211909
399.602356, 405.801211
412.163542, 402.765750
435.440268, 409.982412
464.280489, 420.383165
435.619036, 438.833884
413.965619, 440.994510
401.276646, 441.919364
389.158088, 441.859346
371.516732, 437.334970
352.470809, 421.630987
388.541874, 414.192978
398.400309, 416.744671
412.823077, 413.289718
453.474942, 416.510203
412.860750, 415.841334
398.447259, 417.996437
388.275253, 417.281070
